,dayOfWeek,hours,taxis_id
0,Monday,0,7262
1,Monday,1,6784
2,Monday,2,6294
3,Monday,3,5755
4,Monday,4,5408
5,Monday,5,5070
6,Monday,6,5124
7,Monday,7,5635
8,Monday,8,6511
9,Monday,9,7747
10,Monday,10,8394
11,Monday,11,8701
12,Monday,12,8886
13,Monday,13,8899
14,Monday,14,8697
15,Monday,15,8594
16,Monday,16,8697
17,Monday,17,8779
18,Monday,18,8837
19,Monday,19,8724
20,Monday,20,8541
21,Monday,21,8232
22,Monday,22,7878
23,Monday,23,7536
24,Tuesday,0,7119
25,Tuesday,1,6572
26,Tuesday,2,5951
27,Tuesday,3,5524
28,Tuesday,4,5379
29,Tuesday,5,4931
30,Tuesday,6,5007
31,Tuesday,7,5434
32,Tuesday,8,6255
33,Tuesday,9,7436
34,Tuesday,10,8243
35,Tuesday,11,8603
36,Tuesday,12,8820
37,Tuesday,13,8760
38,Tuesday,14,8547
39,Tuesday,15,8423
40,Tuesday,16,8488
41,Tuesday,17,8587
42,Tuesday,18,8607
43,Tuesday,19,8524
44,Tuesday,20,8221
45,Tuesday,21,7810
46,Tuesday,22,7352
47,Tuesday,23,6851
48,Wednesday,0,6363
49,Wednesday,1,5844
50,Wednesday,2,5425
51,Wednesday,3,5025
52,Wednesday,4,4843
53,Wednesday,5,4592
54,Wednesday,6,4642
55,Wednesday,7,4882
56,Wednesday,8,5292
57,Wednesday,9,6227
58,Wednesday,10,7228
59,Wednesday,11,7915
60,Wednesday,12,8079
61,Wednesday,13,7911
62,Wednesday,14,7518
63,Wednesday,15,7417
64,Wednesday,16,7402
65,Wednesday,17,7337
66,Wednesday,18,7285
67,Wednesday,19,7055
68,Wednesday,20,6609
69,Wednesday,21,6126
70,Wednesday,22,5822
71,Wednesday,23,5611
72,Thursday,0,5443
73,Thursday,1,5355
74,Thursday,2,5301
75,Thursday,3,5050
76,Thursday,4,4927
77,Thursday,5,4572
78,Thursday,6,4513
79,Thursday,7,4552
80,Thursday,8,4729
81,Thursday,9,5276
82,Thursday,10,6071
83,Thursday,11,6747
84,Thursday,12,7076
85,Thursday,13,6897
86,Thursday,14,6664
87,Thursday,15,6715
88,Thursday,16,6847
89,Thursday,17,6964
90,Thursday,18,7043
91,Thursday,19,6915
92,Thursday,20,6678
93,Thursday,21,6258
94,Thursday,22,6073
95,Thursday,23,5786
96,Friday,0,5502
97,Friday,1,5143
98,Friday,2,4731
99,Friday,3,4640
100,Friday,4,4669
101,Friday,5,4375
102,Friday,6,4385
103,Friday,7,4512
104,Friday,8,4768
105,Friday,9,5576
106,Friday,10,6814
107,Friday,11,7857
108,Friday,12,8123
109,Friday,13,7630
110,Friday,14,6992
111,Friday,15,6966
112,Friday,16,7187
113,Friday,17,7073
114,Saturday,13,8229
115,Saturday,14,8622
116,Saturday,15,8508
117,Saturday,16,8643
118,Saturday,17,8738
119,Saturday,18,8877
120,Saturday,19,8814
121,Saturday,20,8657
122,Saturday,21,8370
123,Saturday,22,8090
124,Saturday,23,7681
125,Sunday,0,7285
126,Sunday,1,6897
127,Sunday,2,6630
128,Sunday,3,5581
129,Sunday,4,5408
130,Sunday,5,5092
131,Sunday,6,5143
132,Sunday,7,5541
133,Sunday,8,6381
134,Sunday,9,7571
135,Sunday,10,8276
136,Sunday,11,8627
137,Sunday,12,8829
138,Sunday,13,8820
139,Sunday,14,8678
140,Sunday,15,8628
141,Sunday,16,8724
142,Sunday,17,8760
143,Sunday,18,8837
144,Sunday,19,8830
145,Sunday,20,8704
146,Sunday,21,8422
147,Sunday,22,8099
148,Sunday,23,7690
